GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LiftNexus API,com.v1rex.liftnexus.planning.controller,WarehouseDispatcherController,0,41,0,0,0,10,0,4,0,4
LiftNexus API,com.v1rex.liftnexus.storagebin.exception,StorageBinCodeExistsException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.exception,StorageBinDomainException,0,5,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.exception,StorageBinNotFoundException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.exception,StorageBinErrorCode,0,21,0,0,0,3,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.planning.dto,DispatchJobResponse,0,18,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.dto,StorageBinResponse,0,18,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.dto,CoordinateDto,0,12,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.dto,StorageBinRequest,0,15,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.planning.domain,JobStatus,0,33,0,0,0,6,0,1,0,1
